name,diet,period,lived_in,type,length (m),taxonomy,named_in,species,flight,,
giraffatitan,herbivorous,Late Jurassic,Tanzania,sauropod,23,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,1914,brancai,no,,
gobisaurus,herbivorous,Early Cretaceous,China,armoured dinosaur,5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,2001,domoculus,no,,
gorgosaurus,carnivorous,Late Cretaceous,USA,large theropod,8.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,1914,libratus,no,,
goyocephale,herbivorous,Late Cretaceous,Mongolia,large theropod,2,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala,1982,lattimorei,no,,
graciliceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,2,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,2000,mongoliensis,no,,
gryposaurus,herbivorous,Late Cretaceous,USA,euornithopod,10,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1914,notabilis,no,,
guaibasaurus,herbivorous,Late Triassic,Brazil,small theropod,1.8,Dinosauria Saurischia Theropoda,1999,candelariensis,no,,
guanlong,carnivorous,Late Jurassic,China,small theropod,3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,2006,wucaii,no,,
hadrosaurus,herbivorous,Late Cretaceous,USA,euornithopod,9,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1858,foulkii,no,,
hagryphus,omnivorous,Late Cretaceous,USA,small theropod,3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria,2005,giganteus,no,,
haplocanthosaurus,herbivorous,Late Jurassic,USA,sauropod,21.5,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,1903,priscus,no,,
